iter	Logloss
0	0.6928372483
1	0.6925117379
2	0.6921802733
3	0.6919754435
4	0.6915610329
5	0.6912786327
6	0.6910206759
7	0.6906655701
8	0.6904171496
9	0.6900787585
10	0.6897935559
11	0.6895778899
12	0.6893447567
13	0.6890219327
14	0.6888949402
15	0.6886355649
16	0.6883672782
17	0.6880776738
18	0.6877825628
19	0.6876235708
20	0.6873898247
21	0.6871769256
22	0.6869544982
23	0.6868325909
24	0.6866298941
25	0.6864991504
26	0.6862343909
27	0.6860839031
28	0.6858309563
29	0.6856441238
30	0.6854017376
31	0.6852902989
32	0.6850369241
33	0.6848077907
34	0.6847055936
35	0.6845517908
36	0.6844059926
37	0.6842162112
38	0.6839517348
39	0.6837600063
40	0.6834748026
41	0.6832792968
42	0.6830847387
43	0.6827874294
44	0.6826860113
45	0.6825616279
46	0.6823685817
47	0.6822039965
48	0.6821030853
49	0.6820503054
50	0.6819927435
51	0.6818719366
52	0.6817167266
53	0.6815425285
54	0.6813835226
55	0.6813022633
56	0.6811409289
57	0.6809383142
58	0.6808313858
59	0.680550079
60	0.6804469056
61	0.6803166875
62	0.6801080218
63	0.6799880764
64	0.6797753743
65	0.6796161819
66	0.6795024606
67	0.6791609398
68	0.6789490931
69	0.6788606331
70	0.6788222641
71	0.678737187
72	0.6786032903
73	0.6785386731
74	0.6784382722
75	0.6782826751
76	0.6781573452
77	0.6779973389
78	0.6778640176
79	0.6775839085
80	0.6774805959
81	0.6774138042
82	0.6773507845
83	0.6772082534
84	0.6769793677
85	0.6767589025
86	0.6765615242
87	0.6764903205
88	0.6763130278
89	0.6761025475
90	0.6758034636
91	0.6757100082
92	0.6754093274
93	0.6752546214
94	0.67500009
95	0.6748879178
96	0.6748321685
97	0.6745659783
98	0.6744480975
99	0.6743256844
100	0.6741920465
101	0.673890692
102	0.6737398544
103	0.6736507254
104	0.6736091443
105	0.6732126351
106	0.6730689267
107	0.6729547247
108	0.6729116322
109	0.6727016071
110	0.6726014177
111	0.6723667708
112	0.6722666376
113	0.6721568269
114	0.6721020723
115	0.6718868266
116	0.6718042379
117	0.6716764161
118	0.6716227621
119	0.6714718141
120	0.6712934116
121	0.6711846243
122	0.6709303208
123	0.6708732964
124	0.6707128139
125	0.670552993
126	0.670431617
127	0.6701729604
128	0.6700244813
129	0.6698962176
130	0.6697428426
131	0.669653067
132	0.669582711
133	0.6694373843
134	0.6693696001
135	0.6691528353
136	0.6689930762
137	0.6688805902
138	0.6687421611
139	0.6685919622
140	0.6684072257
141	0.6682748858
142	0.6680913948
143	0.6680016538
144	0.6677454692
145	0.6675262137
146	0.6674669457
147	0.6672809294
148	0.6671313665
149	0.6668948242
150	0.6667233756
151	0.6666564703
152	0.6664552129
153	0.6664081357
154	0.6662443882
155	0.6661938415
156	0.6660784233
157	0.6659968389
158	0.6658301234
159	0.6656891139
160	0.6656346958
161	0.6655125154
162	0.6652848634
163	0.6652028147
164	0.6650340858
165	0.6648219379
166	0.6646566072
167	0.6645656077
168	0.6643936151
169	0.6641966488
170	0.6640646882
171	0.6639355997
172	0.6638808713
173	0.6635906894
174	0.6635281811
175	0.6634141594
176	0.663378883
177	0.6632207272
178	0.6631597954
179	0.663042495
180	0.6629002408
181	0.6627680377
182	0.6625934302
183	0.6624942224
184	0.6624089622
185	0.6622961365
186	0.6621499223
187	0.6620481231
188	0.6619302541
189	0.6617720856
190	0.6616862462
191	0.6614487454
192	0.6612426143
193	0.6610202326
194	0.6608344165
195	0.6606938219
196	0.6605262997
197	0.6603490407
198	0.6602365533
199	0.6600603057
200	0.6597353736
201	0.6595213402
202	0.6594589465
203	0.6593456722
204	0.6592491646
205	0.6591813374
206	0.6590433723
207	0.6589351412
208	0.658745759
209	0.658632928
210	0.6585392189
211	0.6584647192
212	0.6582067421
213	0.6580945986
214	0.6580144013
215	0.6577769798
216	0.6575745337
217	0.6574408499
218	0.6573089017
219	0.657112404
220	0.6568385443
221	0.6566368351
222	0.6564765131
223	0.6562443518
224	0.6560378003
225	0.65583805
226	0.6556353186
227	0.6554149522
228	0.6550910815
229	0.6547725815
230	0.6546181145
231	0.6544302028
232	0.6542643179
233	0.6539970964
234	0.6537702904
235	0.6535750352
236	0.6534423337
