iter	Passed	Remaining
0	123	123035
1	169	84722
2	187	62347
3	199	49672
4	209	41668
5	220	36477
6	229	32610
7	240	29811
8	251	27654
9	261	25889
10	270	24312
11	280	23124
12	289	21977
13	300	21132
14	310	20402
15	322	19804
16	337	19504
17	360	19653
18	372	19215
19	382	18722
20	393	18332
21	405	18017
22	416	17672
23	425	17312
24	436	17011
25	445	16686
26	455	16428
27	466	16188
28	476	15947
29	486	15718
30	496	15520
31	507	15337
32	517	15168
33	534	15173
34	551	15203
35	567	15205
36	578	15062
37	589	14916
38	599	14776
39	610	14647
40	619	14492
41	630	14370
42	638	14219
43	649	14108
44	659	14005
45	670	13911
46	681	13818
47	692	13726
48	702	13640
49	713	13556
50	723	13459
51	735	13416
52	752	13437
53	767	13452
54	782	13439
55	791	13349
56	802	13282
57	813	13213
58	824	13143
59	834	13074
60	844	12994
61	854	12928
62	864	12861
63	875	12803
64	885	12743
65	896	12687
66	909	12671
67	925	12684
68	939	12678
69	957	12722
70	979	12811
71	1000	12892
72	1015	12895
73	1026	12842
74	1036	12789
75	1047	12737
76	1058	12686
77	1068	12635
78	1079	12588
79	1090	12542
80	1101	12495
81	1111	12448
82	1122	12401
83	1132	12345
84	1162	12511
85	1179	12539
86	1194	12532
87	1205	12489
88	1215	12443
89	1226	12396
90	1236	12353
91	1245	12297
92	1256	12257
93	1267	12216
94	1278	12176
95	1288	12137
96	1299	12098
97	1310	12064
98	1321	12028
99	1332	11992
100	1343	11954
101	1352	11907
102	1364	11882
103	1379	11886
104	1405	11978
105	1416	11943
106	1429	11929
107	1446	11946
108	1463	11960
109	1484	12007
110	1499	12010
111	1514	12004
112	1539	12087
113	1570	12206
114	1586	12209
115	1607	12253
116	1632	12317
117	1645	12300
118	1659	12289
119	1671	12254
120	1681	12217
121	1691	12170
122	1701	12129
123	1710	12082
124	1720	12044
125	1730	12002
126	1746	12005
127	1758	11977
128	1769	11949
129	1792	11996
130	1803	11966
131	1820	11970
132	1830	11933
133	1841	11899
134	1854	11883
135	1865	11853
136	1876	11822
137	1887	11789
138	1896	11749
139	1907	11719
140	1918	11688
141	1929	11658
142	1940	11627
143	1951	11597
144	1961	11566
145	1976	11559
146	1990	11547
147	2005	11545
148	2018	11527
149	2029	11497
150	2039	11467
151	2048	11428
152	2063	11421
153	2080	11430
154	2090	11398
155	2101	11369
156	2111	11336
157	2122	11310
158	2135	11293
159	2145	11266
160	2157	11240
161	2167	11213
162	2182	11204
163	2198	11208
164	2212	11195
165	2229	11202
166	2242	11185
167	2253	11158
168	2263	11130
169	2274	11104
170	2283	11071
171	2294	11044
172	2303	11010
173	2313	10983
174	2324	10959
175	2335	10933
176	2344	10900
177	2354	10874
178	2365	10850
179	2376	10826
180	2391	10822
181	2405	10813
182	2423	10821
183	2434	10797
184	2445	10772
185	2455	10748
186	2466	10721
187	2476	10697
188	2486	10669
189	2497	10645
190	2507	10620
191	2518	10597
192	2528	10574
193	2539	10551
194	2550	10529
195	2559	10500
196	2570	10477
197	2585	10473
198	2607	10497
199	2620	10481
200	2637	10483
201	2650	10471
202	2661	10449
203	2672	10426
204	2682	10403
205	2693	10380
206	2704	10359
207	2714	10336
208	2726	10317
209	2736	10295
210	2750	10285
211	2761	10264
212	2772	10242
213	2782	10220
214	2793	10199
215	2804	10178
216	2827	10203
217	2840	10189
218	2851	10167
219	2861	10146
220	2872	10126
221	2883	10104
222	2894	10084
223	2904	10061
224	2915	10041
225	2925	10019
226	2935	9997
227	2946	9977
228	2957	9957
229	2968	9937
230	2978	9916
231	2988	9891
232	2998	9869
233	3008	9849
234	3019	9829
235	3047	9865
236	3063	9863
237	3074	9844
238	3085	9823
239	3098	9813
240	3116	9813
241	3127	9794
242	3137	9775
243	3148	9756
244	3159	9736
245	3170	9717
246	3182	9701
247	3193	9684
248	3204	9664
249	3215	9645
250	3227	9630
251	3237	9610
252	3251	9599
253	3269	9601
254	3285	9599
255	3296	9580
256	3307	9562
257	3320	9549
258	3330	9529
259	3341	9510
